20200100074,2020,ICE,74,Zürich HB,Kiel,Corona: Zug beginnt 19.3.-24.5. in Basel Bad Bf,ansehen
20200100075,2020,ICE,75,Hamburg-Altona,Chur,Corona: Zug endet 19.3.-24.5. in Basel Bad Bf,ansehen
20200100076,2020,ICE,76,Zürich HB,Hamburg-Altona,Corona: Zug beginnt 19.3.-24.5. in Basel Bad Bf,ansehen
20200100077,2020,ICE,77,Kiel,Zürich HB,Corona: Zug endet 19.3.-24.5. in Basel Bad Bf,ansehen
20200100078,2020,ICE,78,Zürich HB,Hamburg-Altona,Corona: Zug beginnt 19.3.-24.5. in Basel Bad Bf,ansehen
20200100079,2020,ICE,79,Hamburg-Altona,Zürich HB,Corona: Zug endet 19.3.-24.5. in Basel Bad Bf,ansehen
20200100080,2020,EC,80,Verona Porta Nuova,München,Corona: Zug entfällt 15.3.-22.6.,ansehen
20200100081,2020,EC,81,München,Bologna C,Corona: Zug entfällt 15.3.-14.6.; fährt 15.-22.6. München Hbf-Innsbruck Hbf,ansehen
20210100081,2021,EC,81,München,Bologna C,Corona: Zug entfällt 10.1.-10.5.,ansehen
20200100082,2020,EC,82,Bologna C,München,Corona: Zug entfällt 15.3.-22.6.,ansehen
20210100082,2021,EC,82,Bologna C,München,Corona: Zug entfällt 10.1.-10.5.,ansehen
20200100083,2020,EC,83,München,Verona Porta Nuova,Corona: Zug entfällt 15.3.-22.6.,ansehen
20210100083,2021,EC,83,München,Verona Porta Nuova,Corona: Zug endet 10.1.-10.5. in Innsbruck Hbf,ansehen
20200100084,2020,EC,84,Rimini,München,Corona: Zug entfällt 15.3.-22.6.,ansehen
20210100084,2021,EC,84,Rimini,München,Corona: Zug beginnt 10.1.-25.3. in Innsbruck Hbf,ansehen
20200100085,2020,EC,85,München,Rimini,Corona: Zug entfällt 15.3.-22.6.,ansehen
20210100085,2021,EC,85,München,Rimini,Corona: Zug endet 10.1.-10.5. in Innsbruck Hbf,ansehen
20200100086,2020,EC,86,Venezia S. Lucia,München,Corona: Zug entfällt 15.3.-14.6.; fährt 15.-22.6. Innsbruck Hbf-München Hbf,ansehen
20210100086,2021,EC,86,Venezia S. Lucia,München,Corona: Zug entfällt 10.1.-10.5.,ansehen
20200100087,2020,EC,87,München,Venezia S. Lucia,Corona: Zug entfällt 15.3.-22.6.,ansehen
20210100087,2021,EC,87,München,Venezia S. Lucia,Corona: Zug entfällt 10.1.-10.5.,ansehen
20200100088,2020,EC,88,Bologna C,München,Corona: Zug entfällt 15.3.-14.6.; fährt 15.-22.6. Innsbruck Hbf-München Hbf,ansehen
20210100088,2021,EC,88,Bologna C,München,Corona: Zug beginnt 10.1.-10.5. in Innsbruck Hbf,ansehen
20200100089,2020,EC,89,München,Bologna C,Corona: Zug entfällt 15.3.-14.6.; fährt 15.-22.6. München Hbf-Innsbruck Hbf,ansehen
20210100089,2021,EC,89,München,Bologna C,Corona: Zug endet 10.1.-10.5. in Verona PN,ansehen
20200100101,2020,ICE,101,Dortmund,Basel SBB,Corona: Zug endet 20.3.-17.5. in Basel Bad Bf,ansehen
